,instant_L_dens,fungalC
4693,-469.6736256179683,0P/100N/100C
4694,34.74019326528358,0P/100N/100C
4695,147.19482107781855,0P/100N/100C
4699,-576.6184124799049,0P/100N/100C
4700,-556.5322266284156,0P/100N/100C
4701,-2106.929513489429,0P/100N/100C
4702,71.04622783143792,0P/100N/100C
4703,-30.307478138243543,0P/100N/100C
4704,-542.8196053191114,0P/100N/100C
4887,1229.2074669850026,0P/100N/100C
4888,1139.7311948622023,0P/100N/100C
4889,1150.2158069299862,0P/100N/100C
4890,1039.860160600145,0P/100N/100C
4891,994.8471444611287,0P/100N/100C
4892,1036.734706093373,0P/100N/100C
4893,905.9543864719893,0P/100N/100C
4894,813.6608103462775,0P/100N/100C
4895,855.6137367142442,0P/100N/100C
4896,856.9523030835655,0P/100N/100C
4897,429.317306340522,0P/100N/100C
4898,739.988453140478,0P/100N/100C
4899,753.1088755356412,0P/100N/100C
4900,657.5792714068873,0P/100N/100C
4901,362.3703450382862,0P/100N/100C
4902,603.3369680219457,0P/100N/100C
4903,373.41897697393284,0P/100N/100C
4904,383.8660455884208,0P/100N/100C
4905,780.904976404196,0P/100N/100C
4906,2908.378878355698,0P/100N/100C
4909,1109.2558404111908,0P/100N/100C
4910,698.3751381136979,0P/100N/100C
4911,693.2423592259839,0P/100N/100C
4912,762.2074345731614,0P/100N/100C
4913,1142.985085673524,0P/100N/100C
4914,1464.4989922142427,0P/100N/100C
4915,1498.9316237058463,0P/100N/100C
4917,1543.1225917631627,0P/100N/100C
4918,1497.9130114255474,0P/100N/100C
4919,1584.2213821672728,0P/100N/100C
4920,1880.369344451431,0P/100N/100C
4922,2163.031675011249,0P/100N/100C
4925,2040.4413274626943,0P/100N/100C
4926,2163.578574529119,0P/100N/100C
4927,1776.5863957779552,0P/100N/100C
4928,1756.8108616509505,0P/100N/100C
4929,1029.5817837879233,0P/100N/100C
4931,940.5654987005273,0P/100N/100C
4932,1548.4842952223016,0P/100N/100C
4933,1467.3878536283657,0P/100N/100C
4936,9403.480321669309,0P/100N/100C
4939,1519.6627894117012,0P/100N/100C
4941,1899.4520717174423,0P/100N/100C
4943,2702.9573841738397,0P/100N/100C
4944,2603.0624873463776,0P/100N/100C
4945,1453.0746561948802,0P/100N/100C
4946,2049.9238075654675,0P/100N/100C
4947,1797.8221124534195,0P/100N/100C
4948,1479.810074379188,0P/100N/100C
4949,1319.3785282448443,0P/100N/100C
4951,5573.690549487953,0P/100N/100C
4952,4803.869108729894,0P/100N/100C
4956,1886.263317951881,0P/100N/100C
4960,4386.394879807392,0P/100N/100C
4961,2356.1908195509973,0P/100N/100C
5167,1205.323991708369,100P/100N/100C
5169,887.3268351376838,100P/100N/100C
5170,1009.3453190346506,100P/100N/100C
5172,918.6150333272242,100P/100N/100C
5174,1064.0438543117111,100P/100N/100C
5175,1172.2069051225476,100P/100N/100C
5176,1412.8368139973986,100P/100N/100C
5177,1785.1173860905938,100P/100N/100C
5178,2397.5954100515055,100P/100N/100C
5179,2161.748825174746,100P/100N/100C
5180,2099.2959047806025,100P/100N/100C
5181,1937.7775176941088,100P/100N/100C
5182,2040.5986205693387,100P/100N/100C
5183,2100.2911748784877,100P/100N/100C
5184,2054.3395903336173,100P/100N/100C
5185,2077.0328635563264,100P/100N/100C
5186,1725.237926810025,100P/100N/100C
5187,1763.931584445362,100P/100N/100C
5188,1836.6357930089564,100P/100N/100C
5189,1943.9096588944124,100P/100N/100C
5190,2078.9929372394963,100P/100N/100C
5191,2695.705423139332,100P/100N/100C
5192,2545.9811835245,100P/100N/100C
5193,2465.7244291515935,100P/100N/100C
5194,2477.3502568261274,100P/100N/100C
5195,2286.944982352261,100P/100N/100C
5196,2233.833748067844,100P/100N/100C
5210,2114.0380476559144,100P/100N/100C
5211,2927.39210792403,100P/100N/100C
5212,2950.0750118131637,100P/100N/100C
5213,2887.67106806553,100P/100N/100C
5214,2778.3058162824505,100P/100N/100C
5215,3080.9146467691053,100P/100N/100C
5218,2160.859463241181,100P/100N/100C
5224,2047.205498115604,100P/100N/100C
5225,2096.450794385784,100P/100N/100C
5226,1819.4618625643752,100P/100N/100C
5227,1917.4238531661024,100P/100N/100C
5228,1762.318847741866,100P/100N/100C
5234,1769.161708418111,100P/100N/100C
5236,1062.2203243418899,100P/100N/100C
5299,1834.4946819303943,100P/100N/100C
5300,1897.2461006422968,100P/100N/100C
5303,210.6094734209033,100P/100N/100C
5304,764.9485092235635,100P/100N/100C
5311,-894.3449624947829,100P/100N/100C
5329,920.0592224431075,100P/100N/100C
5366,1124.6953390013446,100P/100N/100C
5367,1026.3738610387315,100P/100N/100C
5368,1136.7606262273703,100P/100N/100C
5369,1121.8248167717786,100P/100N/100C
5370,1135.652331811449,100P/100N/100C
5371,1364.9666417709932,100P/100N/100C
5372,1668.4505674814377,100P/100N/100C
5373,1549.0872872402088,100P/100N/100C
5374,1844.0912304515161,100P/100N/100C
5375,1808.7655086588138,100P/100N/100C
5376,1829.187197240791,100P/100N/100C
5377,1791.230923067087,100P/100N/100C
5378,2174.3523928105146,100P/100N/100C
5379,1907.4329002695993,100P/100N/100C
5380,1937.151342198623,100P/100N/100C
5381,1988.9714691671015,100P/100N/100C
5382,1914.714564536682,100P/100N/100C
5383,1864.7272914087337,100P/100N/100C
5384,1950.0217665909336,100P/100N/100C
5385,2032.728424185311,100P/100N/100C
5386,1522.811158328574,100P/100N/100C
5387,1686.6882660201882,100P/100N/100C
5388,1793.7636264502494,100P/100N/100C
5389,1929.4075048054788,100P/100N/100C
5390,2010.2063017552596,100P/100N/100C
5397,1630.3304537714043,100P/100N/100C
5400,3003.8232657532044,100P/100N/100C
5401,2700.915526606058,100P/100N/100C
5402,2326.164432742603,100P/100N/100C
5403,2080.5868528104015,100P/100N/100C
5404,2464.07150173767,100P/100N/100C
5405,1987.4676141185096,100P/100N/100C
5406,1954.4875176624923,100P/100N/100C
5409,2034.5306728011064,100P/100N/100C
5410,2491.7072481503906,100P/100N/100C
5411,2096.257916582051,100P/100N/100C
5412,1845.9953837255637,100P/100N/100C
5413,3051.2252164727524,100P/100N/100C
5424,1803.9536564258158,100P/100N/100C
5427,826.2673813690801,100P/100N/100C
5428,903.8484166360819,100P/100N/100C
5488,535.5695310329634,100P/100N/100C
5489,841.2317727927561,100P/100N/100C
5490,970.9725650498211,100P/100N/100C
5491,1092.254229405787,100P/100N/100C
5492,1371.557196317842,100P/100N/100C
5493,1177.8297927552528,100P/100N/100C
5494,1492.8520603311488,100P/100N/100C
5495,1407.06985256085,100P/100N/100C
5496,1349.172855423755,100P/100N/100C
5497,1177.6197582197071,100P/100N/100C
5499,870.4433495830195,100P/100N/100C
5502,890.6923693658691,100P/100N/100C
5503,1395.383840077798,100P/100N/100C
5504,1328.4901932852154,100P/100N/100C
5505,1001.6625483914034,100P/100N/100C
5506,936.148437916173,100P/100N/100C
5508,924.3342447049946,100P/100N/100C
5509,963.6357884517015,100P/100N/100C
5510,1103.3348025339421,100P/100N/100C
5511,1123.1247159468958,100P/100N/100C
5512,1040.9979706709996,100P/100N/100C
5513,850.1872205894384,100P/100N/100C
5514,715.1801346938236,100P/100N/100C
5515,670.9842442009466,100P/100N/100C
5516,617.9562281598221,100P/100N/100C
5518,794.415321178375,100P/100N/100C
5519,971.2401212978915,100P/100N/100C
5520,1044.4979687690332,100P/100N/100C
5521,1626.1594477780502,100P/100N/100C
5522,1566.0802552214602,100P/100N/100C
5523,1433.1961641271105,100P/100N/100C
5539,1780.0414099580453,100P/100N/100C
5540,1469.8057636705162,100P/100N/100C
5541,1400.0796803421504,100P/100N/100C
5542,1397.5148028056708,100P/100N/100C
5551,2669.193815407899,100P/100N/100C
5552,2380.5252415964555,100P/100N/100C
5553,2452.253057787289,100P/100N/100C
5555,2517.886144837793,100P/100N/100C
5556,2599.3674291464845,100P/100N/100C
5557,2906.992533121925,100P/100N/100C
5560,3075.435542319405,100P/100N/100C
5561,3537.6737245984,100P/100N/100C
5562,3689.2735034645125,100P/100N/100C
5564,3838.620719625377,100P/100N/100C
5565,4047.3203049701856,100P/100N/100C
5566,3988.6042301549996,100P/100N/100C
5567,3522.9132796718263,100P/100N/100C
5568,2639.4594369401048,100P/100N/100C
5569,2296.3775056999802,100P/100N/100C
5570,2635.127152791112,100P/100N/100C
5571,1940.0091528268426,100P/100N/100C
5572,1524.2816712704062,100P/100N/100C
5573,1353.7707137893683,100P/100N/100C
5574,1278.0062020933374,100P/100N/100C
5576,859.6943732557162,100P/100N/100C
5577,928.6708334050437,100P/100N/100C
5578,617.0969610663087,100P/100N/100C
5579,629.7109900648297,100P/100N/100C
5580,573.1340712471552,100P/100N/100C
5581,461.8934934291513,100P/100N/100C
5582,372.765199260001,100P/100N/100C
5583,378.64156760984577,100P/100N/100C
5584,278.05110134941526,100P/100N/100C
5589,466.62864026077295,100P/100N/100C
5591,-311.9651621512466,100P/100N/100C
5774,2032.6228890558175,0P/100N/100C
5775,2074.223375420155,0P/100N/100C
5776,1867.8279294804156,0P/100N/100C
5777,1931.247959016758,0P/100N/100C
5778,1072.9768098348873,0P/100N/100C
5780,1027.7904558479722,0P/100N/100C
5783,1192.2486765439774,0P/100N/100C
5784,1199.348577544468,0P/100N/100C
5785,470.94676325854306,0P/100N/100C
5786,1952.8000468744979,0P/100N/100C
5787,1884.631104176309,0P/100N/100C
5788,1418.4255262338402,0P/100N/100C
5789,1669.3586523751374,0P/100N/100C
5790,1886.7881470303048,0P/100N/100C
5791,1203.9343173515595,0P/100N/100C
5792,1122.9527164153476,0P/100N/100C
5793,1823.557499431742,0P/100N/100C
5794,1708.040998626596,0P/100N/100C
5795,1310.9794947539467,0P/100N/100C
5796,1288.3572223255576,0P/100N/100C
5797,1370.4784431047347,0P/100N/100C
5798,1210.3639635420184,0P/100N/100C
5799,1141.451938815794,0P/100N/100C
5800,1320.7812229270426,0P/100N/100C
5801,1066.0156795057264,0P/100N/100C
5802,1369.0871098075847,0P/100N/100C
5803,1443.5722481511784,0P/100N/100C
5804,1637.7987018121419,0P/100N/100C
5805,1729.6700725081523,0P/100N/100C
5806,2363.619454927809,0P/100N/100C
5807,2476.970267499975,0P/100N/100C
5808,4384.217750058503,0P/100N/100C
5809,1685.605367322332,0P/100N/100C
5810,1703.0012932485354,0P/100N/100C
5811,1721.2051182344271,0P/100N/100C
5812,1641.4337854660157,0P/100N/100C
5813,1305.0082847147692,0P/100N/100C
5814,1904.0256113178204,0P/100N/100C
5815,1861.5919212181334,0P/100N/100C
5816,1775.1426591564964,0P/100N/100C
5817,2473.626802088003,0P/100N/100C
5818,2556.191766953888,0P/100N/100C
5822,-823.5504972231807,0P/100N/100C
5823,-851.2848278975218,0P/100N/100C
5824,-617.8862798938893,0P/100N/100C
5825,-502.38105245674285,0P/100N/100C
5826,797.1591902151945,0P/100N/100C
5841,2896.2356755846627,0P/100N/100C
5842,1568.2619635798148,0P/100N/100C
5843,2558.817638952897,0P/100N/100C
5844,1399.788367741747,0P/100N/100C
5845,1310.6222269067653,0P/100N/100C
5850,-191.27173243986596,0P/100N/100C
5852,699.960693747376,0P/100N/100C
5854,1359.2876343895846,0P/100N/100C
6030,687.2213520074937,0P/100N/100C
6031,103.04095632909576,0P/100N/100C
6032,125.8615625286327,0P/100N/100C
6034,248.47424071684466,0P/100N/100C
6040,386.3057285001598,0P/100N/100C
6043,3865.7153038266742,0P/100N/100C
6049,516.4634667484795,0P/100N/100C
6050,1159.1791666926636,0P/100N/100C
6051,861.5643669988867,0P/100N/100C
6052,1377.3903433575792,0P/100N/100C
6053,1231.840849389138,0P/100N/100C
6054,1014.125677112016,0P/100N/100C
6056,971.0643938886956,0P/100N/100C
6057,943.3838136432822,0P/100N/100C
6058,859.0926213127397,0P/100N/100C
6060,1135.6081816034095,0P/100N/100C
6061,858.5505290280311,0P/100N/100C
6062,817.490868490574,0P/100N/100C
6063,773.610828932435,0P/100N/100C
6064,658.3659852265616,0P/100N/100C
6065,710.4694546784664,0P/100N/100C
6066,522.881960894979,0P/100N/100C
6067,482.96560868369016,0P/100N/100C
6068,518.7635871634801,0P/100N/100C
6069,682.2385022064078,0P/100N/100C
6070,765.1173555230746,0P/100N/100C
6071,834.0345239926172,0P/100N/100C
6072,1060.0084417530197,0P/100N/100C
6073,1214.8364024540313,0P/100N/100C
6074,1415.072316794295,0P/100N/100C
6075,1394.8792400369482,0P/100N/100C
6076,1399.4752469380223,0P/100N/100C
6077,1325.490081991957,0P/100N/100C
6078,1238.5993902589273,0P/100N/100C
6079,1105.0564006757302,0P/100N/100C
6080,1066.3179971565437,0P/100N/100C
6081,993.0407386891993,0P/100N/100C
6082,1438.3963378539001,0P/100N/100C
6083,975.669090939188,0P/100N/100C
6085,2053.9539041790385,0P/100N/100C
6087,738.5094647770937,0P/100N/100C
6089,572.3730005060937,0P/100N/100C
6090,799.4134411528933,0P/100N/100C
6091,685.650389517766,0P/100N/100C
6092,1264.0360952876088,0P/100N/100C
6093,1307.9085030156477,0P/100N/100C
6094,905.7449454338487,0P/100N/100C
6096,865.129753721459,0P/100N/100C
6097,694.2354685228074,0P/100N/100C
6098,1566.214051505963,0P/100N/100C
6100,1328.9309915023691,0P/100N/100C
6101,1349.5440154128999,0P/100N/100C
6102,2163.940626681941,0P/100N/100C
6103,760.3483044638457,0P/100N/100C
6104,825.1375073669932,0P/100N/100C
6105,1581.4400489225175,0P/100N/100C
6106,1544.4378372439242,0P/100N/100C
6107,1064.2576745038973,0P/100N/100C
6108,1823.0631734238966,0P/100N/100C
6109,1403.6235683059085,0P/100N/100C
6111,1705.5645099406188,0P/100N/100C
6112,1845.088126194679,0P/100N/100C
6113,1706.1241835658504,0P/100N/100C
6114,1792.8792172613178,0P/100N/100C
6115,2255.2654568484068,0P/100N/100C
6116,1969.5545994689303,0P/100N/100C
6117,2230.044032425092,0P/100N/100C
6118,2537.1400583521963,0P/100N/100C
6120,1075.7045409700274,0P/100N/100C
6124,-563.377114579412,0P/100N/100C
6127,-361.8800344393024,0P/100N/100C
6136,666.8182482547955,0P/100N/100C
6137,661.6109103751232,0P/100N/100C
6138,-102.54481927096504,0P/100N/100C
6590,859.655810356916,0P/100N/100C
6591,990.2925984570912,0P/100N/100C
6592,1094.3845358685671,0P/100N/100C
6593,1398.7031252835172,0P/100N/100C
6594,1114.069360420672,0P/100N/100C
6595,1373.2879206198934,0P/100N/100C
6596,1228.4393493271648,0P/100N/100C
